ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781605384550073064,2026-06-16T17:23:04.550097,prediction,0.128511,0.043000,-0.001332,True,0.125333,0.101459,0.022179,0.003178,0.058459,0.023511,3.93,20,-0.161723,0.284093,0.378912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005180,-0.114940,0.008798,0.005024,0.004192,-0.011648
1781605384588400904,2026-06-16T17:23:04.588421,prediction,0.128805,0.034000,-0.001854,True,0.126920,0.093577,0.021023,0.001885,0.059577,0.022877,6.35,20,-0.161723,0.284093,0.378912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003080,-0.114940,0.007636,0.004192,0.004192,-0.011200
1781605384618331674,2026-06-16T17:23:04.618348,prediction,0.129067,0.026000,-0.002318,True,0.125631,0.085577,0.019301,0.003436,0.059577,0.021619,4.00,20,-0.162049,0.279127,0.378434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003080,-0.114940,0.007636,0.004192,0.004192,-0.011200
1781605384648367569,2026-06-16T17:23:04.648386,prediction,0.128511,0.043000,-0.001332,True,0.124488,0.093062,0.018834,0.004023,0.050062,0.020166,4.06,20,-0.162049,0.279127,0.378434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003080,-0.114940,0.007636,0.004192,0.004192,-0.011200
1781605384686405528,2026-06-16T17:23:04.686422,prediction,0.128249,0.051000,-0.000868,True,0.125565,0.100649,0.019621,0.002684,0.049650,0.020490,4.70,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003080,-0.114940,0.007636,0.004192,0.004192,-0.011200
1781605384719176846,2026-06-16T17:23:04.719191,prediction,0.128805,0.034000,-0.001854,True,0.129197,0.097276,0.019695,0.000391,0.063276,0.021549,4.31,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003080,-0.114940,0.007636,0.004192,0.004192,-0.011200
1781605384748424104,2026-06-16T17:23:04.748443,prediction,0.129656,0.008000,-0.003362,True,0.130538,0.089276,0.018649,0.000882,0.081276,0.022012,3.89,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002380,-0.114940,0.008798,0.005024,0.003904,-0.011648
1781605384783111680,2026-06-16T17:23:04.783130,prediction,0.128511,0.043000,-0.001332,True,0.127117,0.096021,0.018538,0.001394,0.053021,0.019870,4.55,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002380,-0.114940,0.008798,0.005024,0.003904,-0.011648
1781605384819145745,2026-06-16T17:23:04.819165,prediction,0.128805,0.034000,-0.001854,True,0.125690,0.099617,0.020618,0.003116,0.065617,0.022472,4.09,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002380,-0.114940,0.008798,0.005024,0.003904,-0.011648
1781605384852357637,2026-06-16T17:23:04.852372,prediction,0.129067,0.026000,-0.002318,True,0.125665,0.100893,0.022500,0.003402,0.074893,0.024819,3.83,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002380,-0.114940,0.008798,0.005024,0.003904,-0.011648
1781605384881840305,2026-06-16T17:23:04.881854,prediction,0.128249,0.051000,-0.000868,True,0.119542,0.106915,0.023743,0.008707,0.055915,0.024611,3.96,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002380,-0.118020,0.008798,0.005184,0.004192,-0.012480
1781605384920261425,2026-06-16T17:23:04.920284,prediction,0.128249,0.051000,-0.000868,True,0.119007,0.111732,0.027306,0.009242,0.060732,0.028174,4.20,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003920,-0.116200,0.008798,0.005472,0.004192,-0.012480
1781605384952407442,2026-06-16T17:23:04.952428,prediction,0.128805,0.034000,-0.001854,True,0.121428,0.110182,0.028701,0.007377,0.076182,0.030555,4.18,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005880,-0.132300,-0.007055,0.006464,0.004352,-0.013920
1781605384983747463,2026-06-16T17:23:04.983769,prediction,0.128805,0.034000,-0.001854,True,0.119383,0.105976,0.028453,0.009422,0.071976,0.030307,3.97,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.002178,0.000000,0.000000,0.000000,0.034300,-0.178780,-0.039923,0.018816,0.008640,-0.029120
1781605385015957251,2026-06-16T17:23:05.015976,prediction,0.129067,0.026000,-0.002318,True,0.118587,0.101825,0.028580,0.010480,0.075825,0.030898,3.89,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.002178,0.000000,0.000000,0.000000,0.034300,-0.178780,-0.039923,0.018816,0.008640,-0.029120
1781605385055071225,2026-06-16T17:23:05.055091,prediction,0.128805,0.034000,-0.001854,True,0.118366,0.104260,0.028002,0.010440,0.070260,0.029857,4.31,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.002178,0.000000,0.000000,0.000000,0.034300,-0.178780,-0.039923,0.018816,0.008640,-0.029120
1781605385087531197,2026-06-16T17:23:05.087549,prediction,0.129918,-0.000000,-0.000000,True,0.121093,0.096260,0.028902,0.008825,0.096260,0.028902,4.04,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.002178,0.000000,0.000000,0.000000,0.034300,-0.178780,-0.039923,0.018816,0.008640,-0.029120
1781605385121127359,2026-06-16T17:23:05.121143,prediction,0.129918,-0.000000,-0.000000,True,0.114930,0.088260,0.028464,0.014988,0.088260,0.028464,4.45,20,-0.161988,0.280061,0.378524,0.001744,0.001744,0.002178,0.008289,0.000000,0.023995,0.120540,-0.255360,-0.111635,0.059232,0.025344,-0.037184
1781605385158393497,2026-06-16T17:23:05.158414,prediction,0.129362,0.017000,0.000958,True,0.112453,0.090008,0.029233,0.016909,0.073008,0.028275,4.45,20,-0.161988,0.280061,0.378524,0.014394,0.020940,0.022246,0.051040,0.027045,0.059340,0.108500,-0.206640,-0.090304,0.055552,0.024064,-0.036192
1781605385188342191,2026-06-16T17:23:05.188362,prediction,0.130212,-0.009000,-0.000507,True,0.115408,0.086206,0.030233,0.014805,0.095206,0.030740,4.36,20,-0.161988,0.280061,0.378524,0.014831,0.019634,0.022685,0.048863,0.023995,0.054101,0.098560,-0.189280,-0.087399,0.055552,0.021376,-0.035680
1781605385222339191,2026-06-16T17:23:05.222362,prediction,0.128805,0.034000,0.001916,True,0.107620,0.091765,0.031037,0.021185,0.057765,0.029121,4.67,20,-0.161988,0.280061,0.378524,0.011342,0.014831,0.020506,0.034903,0.021807,0.043193,0.091420,-0.167580,-0.078767,0.049088,0.016160,-0.033184
